label,itemid,shopid,name,price,userid,anonymous,commentTime,is_hidden,orderid,comment_rating_star,comment,product_SKU
69,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,144714778,TRUE,2021/09/17,FALSE,8.45E+13,3,,['']
70,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,21646964,TRUE,2021/06/08,FALSE,7.67E+13,5,已是第二次回購，玉米的品質超優，郵寄的速度猶如搭噴射機一般的快速，尤其在全省冷藏宅配大塞車的情況之下著實令人感動。,['']
71,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,12195627,TRUE,2021/06/20,FALSE,7.74E+13,4,商品品質不錯，家人很喜歡，不過很可惜剛好漏寄老人家愛吃的彩虹糯玉米，賣家處理速度很快，馬上退款，有機會會在回購,['']
72,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,7774232,TRUE,2020/06/07,FALSE,4.51E+13,5,這大概一份的量～（煮了一個）^n這個價錢能買到這樣的量算蠻便宜的^n是覺得一口氣可以買這麼多種挺不錯^n但包裝出貨包裝有待加強,[None]
73,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,4056119,TRUE,2021/07/20,FALSE,8.03E+13,5,一收到立刻將玉米和玉米筍蒸來吃，味道超級清甜超級好吃。大推這家農產品真的好好吃。明天再來吃地瓜????????,['']
74,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,2768929,TRUE,2022/06/10,FALSE,1.08E+14,5,商品品質完全沒有問題^n出貨速度也非常的快^n如果有需要下次也一定會在這回購,['']
75,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,16117634,TRUE,2022/11/05,FALSE,1.21E+14,5,,['']
76,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,162417107,TRUE,2021/09/19,FALSE,8.55E+13,5,4斤有10根。好吃，有需要會再回購,['']
77,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,4582744,TRUE,2021/08/20,FALSE,8.29E+13,5,很好吃！,['']
78,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,28763865,TRUE,2021/09/10,FALSE,8.44E+13,5,主動連繫出貨狀況，如期收到購買的農產品，家人都很期待看到烹煮後上餐桌,['']
79,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,2854978,TRUE,2021/06/29,FALSE,7.84E+13,5,超好吃的 小孩啃光光^n而且很新鮮，連梗都嫩 小水果刀就可以切，市場上的老了乾了就切不動了，要用菜刀,['']
80,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,139404385,TRUE,2021/05/29,FALSE,7.57E+13,5,謝謝賣家家人很喜歡，CP值超高，還會再回購的^_^，讚喲??,['']
81,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,139404385,TRUE,2021/05/29,FALSE,7.58E+13,5,謝謝賣家爸媽很喜歡，CP值超高，還會再回購的^_^，讚喲??,['']
82,7332888202,198172756,彩虹甜糯玉米1斤35元（甜度16-17度）產銷履歷 慧軒農場還有白龍王北海道水果玉米/黑寶水果玉米/黑寶糯米,35,12564526,TRUE,2020/05/11,FALSE,4.26E+13,5,常回購賣家的玉米，因為賣家都是現採現寄，收到時還有聞到農園的土味！重點是小孩愛吃公婆也喜愛！！,[None]
